SMILES,HOMO energy (Hartree),LUMO energy (Hartree),HOMO-LUMO gap (Hartree),Dipole moment (Debye),Molecular volume (Å³)
CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Na+],-0.10908575929842369,-0.0960444177594577,0.013041341538965995,28.962150541137234,351.2000000000001
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)S(=O)(=O)[O-].[Na+],-0.18715446799585733,-0.1592848492630785,0.027869618732778823,22.096980195909566,253.88000000000005
C1=CC=C(C=C1)C(=O)NO,-0.24217932301214684,-0.04430432220101171,0.19787500081113513,4.440178118053276,125.28000000000003
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,-0.2565714139982923,-0.031758158296661405,0.2248132557016309,3.9908134552690133,158.75200000000004
CCCCCCCCCCCCOP(=O)(O)O,-0.2753986017917029,-0.023825377389079888,0.251573224402623,5.65278235268036,273.20000000000005
CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+],-0.10422754801991839,-0.07106944496731275,0.033158103052605636,21.152338226778184,298.46400000000006
CCCCCCCC(=O)NO,-0.23936294864539318,0.012376441324438159,0.25173938996983136,4.360118564142136,172.11200000000005
CCCCCC[C@H](C/C=C\CCCCCCCC(=O)O)O,-0.22873689752828708,-0.0010830009728957388,0.22765389655539134,2.3524451686296324,332.0880000000001
CNCC(=O)[O-].[Na+],-0.1747828258737863,-0.05403820554558724,0.12074462032819905,7.4818309219198715,93.69600000000003
C(C(C(=O)O)S(=O)(=O)[O-])C(=O)O.[Na+],-0.275920564259184,-0.17795587089004677,0.09796469336913721,9.064825266317252,152.61600000000004
CCCCCCCCCCCCN,-0.22000282840582108,0.07233931150150469,0.29234213990732577,1.4249568525935732,227.81600000000006
