smiles
CCCCCCCC/C=C\CCCCCCCO.[Na+]
CCCCCCCC/C=C\CCCCCCCN.[Na+]
CCCCCCCC/C=C\CCCCCCC[O-].[Na+]
CCCCCCCC/C=C\CCCCCCC[N-].[Na+]
CCCCCCCC/C=C\CCCCCCCCO.[Na+]
CCCCCCCC/C=C\CCCCCCCC[O-].[Na+]
CCCCCCCC/C=C\CCCCCCCC=N.[Na+]
CCCCCCCC/C=C\CCCCCCCCN.[Na+]
CCCCCCCC/C=C\CCCCCCCC=[N-].[Na+]
CCCCCCCC/C=C\CCCCCCCC[N-].[Na+]
CCCCCCCC/C=C\CCCCCCCC=CO.[Na+]
CCCCCCCC/C=C\CCCCCCCC=C[O-].[Na+]
CCCCCCCC/C=C\CCCCCCCC(=O)O.[Na+]
CCCCCCCC/C=C\CCCCCCCC=NO.[Na+]
CCCCCCCC/C=C\CCCCCCCC(=O)N.[Na+]
CCCCCCCC/C=C\CCCCCCCC=NN.[Na+]
CCCCCCCC/C=C\CCCCCCCC=N[O-].[Na+]
CCCCCCCC/C=C\CCCCCCCC(=O)[N-].[Na+]
CCCCCCCC/C=C\CCCCCCCC=N[N-].[Na+]
CCCCCCCC/C=C\CCCCCCCC(=O)NO.[Na+]
CCCCCCCC/C=C\CCCCCCCC(=O)N[O-].[Na+]
CCCCCCCC/C=C\CCCCCCCOP(=O)(O)O.[Na+]
CCCCCCCC/C=C\CCCCCCCOP(=O)(O)[O-].[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)O.[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)N.[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)[O-].[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)[N-].[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)CO.[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)C[O-].[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)C=N.[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)CN.[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)C=[N-].[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)C[N-].[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)C=CO.[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)C=C[O-].[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)C(=O)O.[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)C(=O)[O-].[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)C=NO.[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)C(=O)N.[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)C=NN.[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)C=N[O-].[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)C(=O)[N-].[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)C=N[N-].[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)C(=O)NO.[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)C(=O)N[O-].[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)OP(=O)(O)O.[Na+]
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)OP(=O)(O)[O-].[Na+]
C1=CC=C(C=C1)O
C1=CC=C(C=C1)N
C1=CC=C(C=C1)[O-]
C1=CC=C(C=C1)[N-]
C1=CC=C(C=C1)CO
C1=CC=C(C=C1)C[O-]
C1=CC=C(C=C1)C=N
C1=CC=C(C=C1)CN
C1=CC=C(C=C1)C=[N-]
C1=CC=C(C=C1)C[N-]
